word,count,sqrt_count,tf_score,char_freq_score
welsh,455,21.330729007701542,2.4274393756370185,60.220011324112264
rigid,99,9.9498743710662,1.1322968297167564,21.57243387527299
prone,110,10.488088481701515,1.1935456564309261,71.90811291757663
crank,74,8.602325267042627,0.978945589141239,53.78144463317964
goods,260,16.1245154965971,1.8349716887489864,26.053546873736146
tanks,835,28.89636655359978,3.288409784762764,59.928819865728364
backs,1209,34.77067730142742,3.9569070128160617,53.51451912966109
crews,391,19.77371993328519,2.2502515667206997,63.79519534093666
knots,591,24.310491562286437,2.7665366916470133,52.39019655423439
roads,592,24.331050121192877,2.7688762579777197,76.14656636738655
amend,116,10.770329614269007,1.2256647292657716,74.2133786297824
slice,88,9.38083151964686,1.067539688811664,77.03631804578177
piles,25,5.0,0.5690005659817304,76.57526490334061
theta,115,10.723805294763608,1.2203702564396741,61.29580198980829
hooks,146,12.083045973594572,1.375051999551716,24.2497775620804
stela,5,2.23606797749979,0.2544647889542007,86.79932055326375
nihil,19,4.358898943540674,0.4960431931863621,21.062848823101188
zeros,52,7.211102550927978,0.820624286566064,74.01116233923803
glyph,24,4.898979485566356,0.5575044200040287,27.38008573970719
moors,50,7.0710678118654755,0.8046883174093303,31.610450537895325
modus,30,5.477225575051661,0.6233088904428009,56.45069966836526
polka,185,13.601470508735444,1.5478488835308566,61.42522041575669
modes,79,8.888194417315589,1.0114775308016453,73.50157728706623
papal,56,7.483314773547883,0.851602068313638,9.657850036398932
canon,343,18.520259177452136,2.1076075908197205,50.44892016500848
canal,744,27.27636339397171,3.1040532418186513,22.640135889347242
noses,18,4.242640687119285,0.48281299044559817,57.761061231092775
ships,619,24.879710609249457,2.8313138836249214,31.400145595729192
boats,295,17.175564037317667,1.9545811316578416,71.25293213621289
dried,60,7.745966692414834,0.8814918864119345,60.12294750465097
sails,27,5.196152422706632,0.5913227338894826,55.43152956402167
masts,13,3.605551275463989,0.410312143283032,41.43007360672975
swept,569,23.853720883753127,2.7145561367251503,60.85092615061069
edges,96,9.797958971132712,1.1150088400080573,26.78152551969586
aught,14,3.7416573867739413,0.425801034156819,55.86831675159751
sutra,55,7.416198487095663,0.8439642273180571,72.50667313758797
worms,100,10.0,1.1380011319634609,51.573242740435155
reals,114,10.677078252031311,1.215052713687408,89.28253660114856
bylaw,4,2.0,0.22760022639269217,46.226644018442116
verbs,46,6.782329983125268,0.7718299198146276,61.020787834667935
packs,167,12.922847983320086,1.4706215633209987,54.84105799563211
hopes,512,22.627416997969522,2.5750026157098573,72.61182560867101
goths,32,5.656854249492381,0.6437506539274643,50.13346275175928
firth,55,7.416198487095663,0.8439642273180571,46.43694896060826
icons,130,11.40175425099138,1.2975209243997392,65.08129094879884
rails,110,10.488088481701515,1.1935456564309261,78.67022567338024
gross,359,18.947295321496416,2.1562043523508905,35.50109196796894
tires,302,17.378147196982766,1.9776351181594032,82.61748766480626
drill,173,13.152946437965905,1.496806793505997,37.434279705573076
shank,12,3.4641016151377544,0.3942151559263218,56.28892663592977
borer,8,2.8284271247461903,0.32187532696373217,52.649033406131196
lathe,34,5.830951894845301,0.663562985675844,77.35177545903097
lotus,387,19.672315572906,2.238711739030945,62.20981962306883
peaks,95,9.746794344808963,1.109186299740766,78.71875758311089
blurb,76,8.717797887081348,0.9920863863727242,32.17665615141955
sable,98,9.899494936611665,1.1265636443730624,82.1887891288522
butte,41,6.4031242374328485,0.7286762630301253,46.94653401278006
thugs,133,11.532562594670797,1.3124069287174833,44.29345628083798
vogue,48,6.928203230275509,0.7884303118526436,66.48062767936584
tings,10,3.1622776601683795,0.35986755568543805,53.352746097225584
jammy,14,3.7416573867739413,0.425801034156819,31.723691660600174
whine,22,4.69041575982343,0.533769844405832,64.11065275418586
echos,4,2.0,0.22760022639269217,73.07287875111217
auric,5,2.23606797749979,0.2544647889542007,74.31853110086548
stall,93,9.643650760992955,1.0974485482270273,49.898891854727815
pulse,141,11.874342087037917,1.3513014736370514,70.13669821240799
grove,429,20.71231517720798,2.357063811724665,64.95996117447221
playa,25,5.0,0.5690005659817304,19.655423440912397
puppy,231,15.198684153570664,1.729611977111853,17.62517188384696
rhino,78,8.831760866327848,1.0050553863111686,60.93990131845021
ville,96,9.797958971132712,1.1150088400080573,51.662217908274684
slide,200,14.142135623730951,1.6093766348186607,77.6591442206584
cunts,187,13.674794331177344,1.5561931428247333,48.798835234166454
trout,122,11.045361017187261,1.2569633340504187,42.829410337296764
curie,81,9.0,1.024201018767115,77.99077893715116
atlas,303,17.406895185529212,1.9809066425101562,32.2898972741244
bones,208,14.422205101855956,1.641248573132128,73.90600986815495
mourn,13,3.605551275463989,0.410312143283032,54.307206988595
lobby,112,10.583005244258363,1.204347194754126,31.99061716411873
rajah,47,6.855654600401044,0.7801742695606897,17.544285367629215
coins,1081,32.87856444554719,3.74158435563663,65.08129094879881
mines,186,13.638181696985855,1.5520266209093256,75.28108064385665
bogie,27,5.196152422706632,0.5913227338894826,74.8523821079026
wagon,176,13.2664991614216,1.5097291062890086,58.7721426838146
kiosk,16,4.0,0.45520045278538435,51.91296610854971
titan,187,13.674794331177344,1.5561931428247333,53.304214187494935
fluid,162,12.727922061357855,1.4484389713367947,49.122381299037436
salty,9,3.0,0.34140033958903826,62.201730971447056
spray,91,9.539392014169456,1.085583891036804,61.6759686160317
codex,38,6.164414002968976,0.7015110113270104,60.859014802232466
masks,65,8.06225774829855,0.9174858443744932,36.35848903987704
trump,229,15.132745950421556,1.7221082021295209,42.19849551079834
filth,342,18.49324200890693,2.1045330339810313,43.678718757583106
pixie,10,3.1622776601683795,0.35986755568543805,35.92170185230122
pound,347,18.627936010197157,2.119861226574728,50.173906009868155
otter,278,16.673332000533065,1.8974270690209223,59.88028795599773
float,81,9.0,1.024201018767115,64.1025641025641
zebra,157,12.529964086141668,1.425911331349073,71.13160236188627
rumor,157,12.529964086141668,1.425911331349073,36.374666343120595
parer,3,1.7320508075688772,0.1971075779631609,61.514195583596205
hefty,19,4.358898943540674,0.4960431931863621,51.02321443015448
bezel,3,1.7320508075688772,0.1971075779631609,14.988271455148425
gamer,114,10.677078252031311,1.215052713687408,75.2082827792607
canoe,58,7.615773105863909,0.8666758415250011,87.26846234732669
peril,44,6.6332495807108,0.7548645531445043,73.25082908679121
shire,326,18.05547008526779,2.054714539516715,78.97759443500769
